1	the rock is destined to be the 21st century's new " conan " and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal . 
1	the gorgeously elaborate continuation of " the lord of the rings " trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth . 
1	effective but too-tepid biopic
1	if you sometimes like to go to the movies to have fun , wasabi is a good place to start . 
1	emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . 
1	the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . 
1	offers that rare combination of entertainment and education . 
1	perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . 
1	steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off . 
1	take care of my cat offers a refreshingly different slice of asian cinema . 
1	this is a film well worth seeing , talking and singing heads and all . 
1	what really surprises about wisegirls is its low-key quality and genuine tenderness . 
1	 ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . 
1	one of the greatest family-oriented , fantasy-adventure movies ever . 
1	ultimately , it ponders the reasons we need stories so much . 
1	an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . 
1	illuminating if overly talky documentary . 
1	a masterpiece four years in the making . 
1	the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries . 
1	offers a breath of the fresh air of true sophistication . 
1	a thoughtful , provocative , insistently humanizing film . 
1	with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . 
1	a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass . 
1	not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . 
1	scores a few points for doing what it does with a dedicated and good-hearted professionalism . 
1	occasionally melodramatic , it's also extremely effective . 
1	spiderman rocks
1	an idealistic love story that brings out the latent 15-year-old romantic in everyone . 
1	at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . 
1	it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . 
1	guaranteed to move anyone who ever shook , rattled , or rolled . 
1	a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . 
1	light , cute and forgettable . 
1	if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid . 
1	while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . 
